Date,Price,Open,High,Low,Change %
10/30/2020,0.7026,0.703,0.7074,0.701,-0.03%
10/29/2020,0.7028,0.7045,0.7078,0.7002,-0.23%
10/28/2020,0.7044,0.7126,0.7158,0.7038,-1.18%
10/27/2020,0.7128,0.7124,0.7149,0.7114,0.08%
10/26/2020,0.7122,0.7129,0.7147,0.7103,-0.18%
10/23/2020,0.7135,0.7118,0.716,0.71,0.28%
10/22/2020,0.7115,0.7117,0.7127,0.7085,-0.03%
10/21/2020,0.7117,0.7048,0.7138,0.7046,1.01%
10/20/2020,0.7046,0.7068,0.7074,0.702,-0.30%
10/19/2020,0.7067,0.7088,0.7116,0.7057,-0.18%
10/16/2020,0.708,0.7094,0.7099,0.707,-0.17%
10/15/2020,0.7092,0.7162,0.7172,0.7056,-0.98%
10/14/2020,0.7162,0.716,0.7192,0.7151,0.03%
10/13/2020,0.716,0.7209,0.7214,0.715,-0.65%
10/12/2020,0.7207,0.7225,0.7237,0.7203,-0.44%
10/9/2020,0.7239,0.7168,0.7244,0.716,1.02%
10/8/2020,0.7166,0.7141,0.7171,0.7122,0.39%
10/7/2020,0.7138,0.7102,0.7153,0.7096,0.48%
10/6/2020,0.7104,0.7181,0.721,0.7099,-1.04%
10/5/2020,0.7179,0.7158,0.7194,0.7154,0.24%
10/2/2020,0.7162,0.7184,0.719,0.713,-0.29%
10/1/2020,0.7183,0.7163,0.7211,0.7154,0.31%
9/30/2020,0.7161,0.713,0.7176,0.7099,0.48%
9/29/2020,0.7127,0.7071,0.7139,0.7068,0.81%
9/28/2020,0.707,0.7028,0.7075,0.7009,0.61%
9/25/2020,0.7027,0.7046,0.7088,0.7006,-0.26%
9/24/2020,0.7045,0.7072,0.7083,0.7016,-0.41%
9/23/2020,0.7074,0.7175,0.7179,0.7067,-1.39%
9/22/2020,0.7174,0.7226,0.7236,0.7153,-0.68%
9/21/2020,0.7223,0.7307,0.7326,0.7199,-0.91%
9/18/2020,0.7289,0.7313,0.7335,0.7282,-0.31%
9/17/2020,0.7312,0.7308,0.7316,0.7254,0.10%
9/16/2020,0.7305,0.7302,0.7347,0.7278,0.05%
9/15/2020,0.7301,0.7291,0.7344,0.7266,0.18%
9/14/2020,0.7288,0.7278,0.7304,0.7264,0.07%
9/11/2020,0.7283,0.7256,0.7307,0.725,0.37%
9/10/2020,0.7256,0.7282,0.7326,0.7247,-0.36%
9/9/2020,0.7282,0.7214,0.7289,0.7192,0.94%
9/8/2020,0.7214,0.7276,0.7311,0.721,-0.82%
9/7/2020,0.7274,0.7282,0.73,0.7269,-0.07%
9/4/2020,0.7279,0.7273,0.73,0.7222,0.10%
9/3/2020,0.7272,0.7334,0.734,0.7265,-0.90%
9/2/2020,0.7338,0.7372,0.7383,0.7301,-0.45%
9/1/2020,0.7371,0.7377,0.7415,0.7358,-0.05%
8/31/2020,0.7375,0.7357,0.7404,0.734,0.12%
8/28/2020,0.7366,0.7264,0.7369,0.7254,1.49%
8/27/2020,0.7258,0.7232,0.7291,0.7217,0.37%
8/26/2020,0.7231,0.7196,0.7241,0.7186,0.51%
8/25/2020,0.7194,0.7163,0.7199,0.715,0.46%
8/24/2020,0.7161,0.7155,0.7206,0.7151,0.00%
8/21/2020,0.7161,0.7193,0.7217,0.7139,-0.42%
8/20/2020,0.7191,0.7181,0.7204,0.7135,0.14%
8/19/2020,0.7181,0.7243,0.7276,0.7179,-0.81%
8/18/2020,0.724,0.7214,0.7265,0.7208,0.36%
8/17/2020,0.7214,0.7164,0.7229,0.716,0.60%
8/14/2020,0.7171,0.7149,0.7176,0.7132,0.32%
8/13/2020,0.7148,0.716,0.7189,0.7135,-0.20%
8/12/2020,0.7162,0.7143,0.7177,0.7109,0.28%
8/11/2020,0.7142,0.7151,0.719,0.7135,-0.10%
8/10/2020,0.7149,0.7161,0.7185,0.7139,-0.13%
8/7/2020,0.7158,0.7233,0.7244,0.7144,-1.07%
8/6/2020,0.7236,0.7192,0.724,0.7174,0.60%
8/5/2020,0.7192,0.7161,0.7243,0.7153,0.43%
8/4/2020,0.7161,0.7126,0.7168,0.7104,0.52%
8/3/2020,0.7124,0.7146,0.7155,0.7075,-0.27%
7/31/2020,0.7143,0.7194,0.7229,0.7132,-0.71%
7/30/2020,0.7194,0.7185,0.7199,0.712,0.08%
7/29/2020,0.7188,0.7158,0.7197,0.7148,0.42%
7/28/2020,0.7158,0.7149,0.7178,0.7113,0.11%
7/27/2020,0.715,0.7095,0.7151,0.7085,0.64%
7/24/2020,0.7104,0.7098,0.7125,0.7063,0.09%
7/23/2020,0.7098,0.714,0.7163,0.7089,-0.60%
7/22/2020,0.714,0.7128,0.7183,0.7111,0.18%
7/21/2020,0.7128,0.7014,0.7147,0.701,1.63%
7/20/2020,0.7014,0.6992,0.7018,0.6972,0.24%
7/17/2020,0.6998,0.6972,0.7006,0.6967,0.38%
7/16/2020,0.6971,0.7006,0.7013,0.6963,-0.53%
7/15/2020,0.7008,0.6972,0.7039,0.6969,0.47%
7/14/2020,0.6975,0.694,0.6978,0.692,0.50%
7/13/2020,0.694,0.6952,0.6995,0.6938,-0.14%
7/10/2020,0.6949,0.6964,0.697,0.6923,-0.21%
7/9/2020,0.6964,0.6983,0.7002,0.6949,-0.27%
7/8/2020,0.6983,0.6947,0.6987,0.6927,0.52%
7/7/2020,0.6947,0.6972,0.6999,0.6921,-0.39%
7/6/2020,0.6974,0.6935,0.6988,0.6923,0.46%
7/3/2020,0.6942,0.6921,0.6951,0.6913,0.27%
7/2/2020,0.6923,0.6916,0.6953,0.6901,0.12%
7/1/2020,0.6915,0.6903,0.6945,0.6877,0.17%
6/30/2020,0.6903,0.6865,0.6913,0.6832,0.55%
