Date,Price,Open,High,Low,Change %
12/31/1979,1.1066,1.1066,1.1066,1.1066,0.04%
12/28/1979,1.1062,1.1062,1.1062,1.1062,0.05%
12/27/1979,1.1057,1.1057,1.1057,1.1057,0.05%
12/29/1989,0.7885,0.788,0.795,0.7878,-0.61%
12/28/1989,0.7933,0.793,0.7985,0.7923,-0.68%
12/27/1989,0.7987,0.7983,0.8004,0.7825,0.87%
12/26/1989,0.7918,0.7915,0.7924,0.7889,0.23%
12/25/1989,0.79,0.789,0.79,0.788,0.09%
12/22/1989,0.7893,0.789,0.7903,0.786,0.22%
12/21/1989,0.7876,0.7871,0.7888,0.7841,0.29%
12/20/1989,0.7853,0.785,0.7875,0.7838,-0.04%
12/19/1989,0.7856,0.7853,0.7866,0.7838,0.05%
12/18/1989,0.7852,0.7848,0.7858,0.7813,0.24%
12/15/1989,0.7833,0.783,0.7863,0.7805,-0.24%
12/14/1989,0.7852,0.7848,0.787,0.784,-0.01%
12/13/1989,0.7853,0.7849,0.7881,0.784,-0.24%
12/12/1989,0.7872,0.7868,0.7873,0.781,0.32%
12/11/1989,0.7847,0.7843,0.7849,0.7817,0.23%
12/8/1989,0.7829,0.7825,0.784,0.7807,0.31%
12/7/1989,0.7805,0.7801,0.785,0.7798,-0.36%
12/6/1989,0.7833,0.783,0.7844,0.781,0.19%
12/5/1989,0.7818,0.7815,0.7829,0.778,0.28%
12/4/1989,0.7796,0.7793,0.7832,0.7788,-0.09%
12/1/1989,0.7803,0.78,0.7833,0.7788,-0.41%
11/30/1989,0.7835,0.783,0.7852,0.776,0.68%
11/29/1989,0.7782,0.7779,0.7844,0.7775,-0.74%
11/28/1989,0.784,0.7837,0.7876,0.783,-0.25%
11/27/1989,0.786,0.7857,0.7867,0.7814,0.32%
11/24/1989,0.7835,0.7833,0.7851,0.7801,0.29%
11/23/1989,0.7812,0.7809,0.7832,0.7738,0.28%
11/22/1989,0.779,0.7786,0.7796,0.7731,0.15%
11/21/1989,0.7778,0.7775,0.7811,0.7768,-0.44%
11/20/1989,0.7812,0.7808,0.7833,0.7803,-0.19%
11/17/1989,0.7827,0.7823,0.7838,0.7808,0.19%
11/16/1989,0.7812,0.7808,0.7828,0.7788,-0.13%
11/15/1989,0.7822,0.7818,0.7874,0.781,-0.17%
11/14/1989,0.7835,0.7832,0.7898,0.7823,-0.76%
11/13/1989,0.7895,0.7892,0.7909,0.7847,0.30%
11/10/1989,0.7871,0.7867,0.7896,0.7838,-0.13%
11/9/1989,0.7881,0.7878,0.7909,0.7843,0.43%
11/8/1989,0.7847,0.7843,0.7874,0.7835,-0.03%
11/7/1989,0.7849,0.7845,0.7873,0.7805,0.35%
11/6/1989,0.7822,0.7818,0.7832,0.7784,0.32%
11/3/1989,0.7797,0.7794,0.7809,0.778,0.36%
11/2/1989,0.7769,0.7765,0.7818,0.7753,-0.28%
11/1/1989,0.7791,0.7787,0.7826,0.778,-0.18%
10/31/1989,0.7805,0.7801,0.784,0.78,-0.33%
10/30/1989,0.7831,0.7827,0.7833,0.7823,0.54%
10/27/1989,0.7789,0.7785,0.7793,0.7747,0.09%
10/26/1989,0.7782,0.7779,0.781,0.773,0.57%
10/25/1989,0.7738,0.7736,0.7757,0.7654,0.93%
10/24/1989,0.7667,0.7665,0.7722,0.7632,-0.43%
10/23/1989,0.77,0.7693,0.7733,0.7673,-0.03%
10/20/1989,0.7702,0.7696,0.7778,0.7695,-0.88%
10/19/1989,0.777,0.7768,0.7784,0.7695,0.58%
10/18/1989,0.7725,0.7722,0.7734,0.7658,0.48%
10/17/1989,0.7688,0.7687,0.7714,0.7636,0.46%
10/16/1989,0.7653,0.7646,0.7665,0.7559,-0.56%
10/13/1989,0.7696,0.7696,0.7743,0.7632,0.46%
10/12/1989,0.7661,0.7661,0.7768,0.766,-1.33%
10/11/1989,0.7764,0.7764,0.7776,0.7722,0.35%
10/10/1989,0.7737,0.7737,0.7805,0.7735,-1.15%
10/9/1989,0.7827,0.7827,0.7844,0.7817,-0.03%
10/6/1989,0.7829,0.7829,0.7842,0.7761,0.63%
10/5/1989,0.778,0.778,0.78,0.7708,0.17%
10/4/1989,0.7767,0.7767,0.7817,0.7753,-0.14%
10/3/1989,0.7778,0.7778,0.7796,0.7743,0.45%
10/2/1989,0.7743,0.7743,0.778,0.7732,-0.18%
9/29/1989,0.7757,0.7757,0.7794,0.7724,0.31%
9/28/1989,0.7733,0.7733,0.7825,0.7718,-1.20%
9/27/1989,0.7827,0.7827,0.7906,0.7821,-0.53%
9/26/1989,0.7869,0.7869,0.7912,0.7832,-0.78%
9/25/1989,0.7931,0.7931,0.7939,0.7858,1.54%
9/22/1989,0.7811,0.7811,0.7871,0.7762,0.61%
9/21/1989,0.7764,0.7764,0.7768,0.7648,0.23%
9/20/1989,0.7746,0.7746,0.7764,0.7732,0.00%
