Date,Price,Open,High,Low,Change %
12/31/1999,0.6915,0.6913,0.6932,0.6871,0.51%
12/30/1999,0.688,0.6877,0.6899,0.6875,-0.01%
12/29/1999,0.6881,0.6878,0.6908,0.6878,-0.19%
12/28/1999,0.6894,0.6891,0.6906,0.684,0.57%
12/27/1999,0.6855,0.6853,0.6856,0.6808,0.59%
12/24/1999,0.6815,0.6812,0.6815,0.6795,0.16%
12/23/1999,0.6804,0.6802,0.6809,0.6768,0.44%
12/22/1999,0.6774,0.6771,0.6784,0.6767,0.06%
12/21/1999,0.677,0.6768,0.6777,0.6754,0.24%
12/20/1999,0.6754,0.6752,0.677,0.6745,-0.16%
12/17/1999,0.6765,0.6763,0.6784,0.6763,-0.15%
12/16/1999,0.6775,0.6773,0.6777,0.6737,0.49%
12/15/1999,0.6742,0.6739,0.6754,0.6734,-0.10%
12/14/1999,0.6749,0.6747,0.6768,0.6747,-0.18%
12/13/1999,0.6761,0.6759,0.6773,0.6751,-0.18%
12/10/1999,0.6773,0.677,0.6779,0.6759,-0.12%
12/9/1999,0.6781,0.6778,0.6786,0.676,0.24%
12/8/1999,0.6765,0.6763,0.6774,0.6756,-0.12%
12/7/1999,0.6773,0.677,0.679,0.677,-0.16%
12/6/1999,0.6784,0.6783,0.6794,0.6743,0.40%
12/3/1999,0.6757,0.6755,0.6772,0.6745,0.15%
12/2/1999,0.6747,0.6745,0.6789,0.6745,-0.59%
12/1/1999,0.6787,0.6785,0.679,0.6779,0.04%
11/30/1999,0.6784,0.6781,0.6804,0.6775,-0.01%
11/29/1999,0.6785,0.6784,0.6814,0.6773,-0.34%
11/26/1999,0.6808,0.6806,0.6826,0.6806,-0.15%
11/25/1999,0.6818,0.6815,0.6827,0.681,0.00%
11/24/1999,0.6818,0.6817,0.6828,0.6802,0.01%
11/23/1999,0.6817,0.6816,0.6842,0.6816,-0.37%
11/22/1999,0.6842,0.6839,0.6847,0.6834,0.01%
11/19/1999,0.6841,0.6839,0.6849,0.6819,0.23%
11/18/1999,0.6825,0.6823,0.6835,0.6802,0.31%
11/17/1999,0.6804,0.6802,0.6837,0.6797,-0.50%
11/16/1999,0.6838,0.6836,0.6842,0.6806,0.22%
11/15/1999,0.6823,0.6822,0.6843,0.6822,-0.18%
11/12/1999,0.6835,0.6833,0.6848,0.6821,0.16%
11/11/1999,0.6824,0.6821,0.6825,0.6811,0.24%
11/10/1999,0.6808,0.6806,0.6811,0.6781,0.41%
11/9/1999,0.678,0.6778,0.6813,0.6775,-0.25%
11/8/1999,0.6797,0.6797,0.6821,0.6793,-0.18%
11/5/1999,0.6809,0.6807,0.6871,0.6806,-0.37%
11/4/1999,0.6834,0.6831,0.6851,0.6809,0.31%
11/3/1999,0.6813,0.6811,0.6817,0.6799,0.13%
11/2/1999,0.6804,0.6801,0.6825,0.68,-0.25%
11/1/1999,0.6821,0.6818,0.6824,0.6795,0.29%
10/29/1999,0.6801,0.6798,0.6804,0.6769,0.18%
10/28/1999,0.6789,0.6788,0.6804,0.6781,-0.03%
10/27/1999,0.6791,0.679,0.6806,0.6783,0.07%
10/26/1999,0.6786,0.6784,0.6811,0.6782,-0.09%
10/25/1999,0.6792,0.679,0.6796,0.6761,0.32%
10/22/1999,0.677,0.6768,0.6781,0.6743,0.33%
10/21/1999,0.6748,0.6746,0.6754,0.6718,0.27%
10/20/1999,0.673,0.6729,0.6731,0.6709,0.24%
10/19/1999,0.6714,0.6712,0.672,0.6682,0.30%
10/18/1999,0.6694,0.6693,0.6725,0.668,-0.39%
10/15/1999,0.672,0.6718,0.6761,0.6711,-0.52%
10/14/1999,0.6755,0.6754,0.6756,0.6742,0.12%
10/13/1999,0.6747,0.6746,0.6781,0.6738,-0.41%
10/12/1999,0.6775,0.6774,0.6796,0.6773,-0.21%
10/11/1999,0.6789,0.6788,0.68,0.6787,-0.13%
10/8/1999,0.6798,0.6795,0.6815,0.6784,0.03%
10/7/1999,0.6796,0.6794,0.682,0.6792,-0.21%
10/6/1999,0.681,0.6808,0.6825,0.6795,0.25%
10/5/1999,0.6793,0.6792,0.6833,0.6792,-0.21%
10/4/1999,0.6807,0.6806,0.6808,0.6771,0.37%
10/1/1999,0.6782,0.6779,0.6842,0.6764,-0.48%
9/30/1999,0.6815,0.6813,0.6827,0.6798,-0.07%
9/29/1999,0.682,0.6817,0.6851,0.6817,-0.31%
9/28/1999,0.6841,0.6839,0.6845,0.6809,0.48%
9/27/1999,0.6808,0.6806,0.6814,0.6793,0.19%
9/24/1999,0.6795,0.6793,0.6795,0.677,0.13%
9/23/1999,0.6786,0.6784,0.6809,0.6778,-0.18%
9/22/1999,0.6798,0.6795,0.6814,0.677,0.35%
9/21/1999,0.6774,0.6772,0.6806,0.6764,0.16%
9/20/1999,0.6763,0.6761,0.6797,0.6755,-0.47%
9/17/1999,0.6795,0.6793,0.6809,0.6777,0.22%
9/16/1999,0.678,0.6779,0.6781,0.6759,0.09%
9/15/1999,0.6774,0.6772,0.6804,0.6768,-0.16%
9/14/1999,0.6785,0.6784,0.6811,0.6779,-0.31%
9/13/1999,0.6806,0.6804,0.681,0.6768,0.37%
9/10/1999,0.6781,0.678,0.679,0.6743,0.21%
9/9/1999,0.6767,0.6765,0.6768,0.6719,0.70%
9/8/1999,0.672,0.6718,0.6728,0.6704,0.09%
9/7/1999,0.6714,0.6712,0.6723,0.6693,0.01%
9/6/1999,0.6713,0.6712,0.6714,0.6702,0.07%
9/3/1999,0.6708,0.6706,0.6724,0.6672,0.34%
9/2/1999,0.6685,0.6684,0.673,0.6681,-0.51%
9/1/1999,0.6719,0.6718,0.6735,0.669,0.25%
8/31/1999,0.6702,0.6701,0.6724,0.6679,0.12%
8/30/1999,0.6694,0.6693,0.6725,0.669,-0.31%
8/27/1999,0.6715,0.6713,0.6718,0.6663,0.77%
8/26/1999,0.6664,0.6662,0.6689,0.6648,-0.33%
8/25/1999,0.6686,0.6684,0.6709,0.6678,-0.33%
8/24/1999,0.6708,0.6707,0.6717,0.667,0.45%
8/23/1999,0.6678,0.6675,0.6696,0.6672,-0.09%
8/20/1999,0.6684,0.6682,0.6703,0.6677,-0.10%
8/19/1999,0.6691,0.669,0.6742,0.6689,-0.77%
8/18/1999,0.6743,0.674,0.677,0.673,-0.38%
8/17/1999,0.6769,0.6768,0.6773,0.6739,0.42%
8/16/1999,0.6741,0.6739,0.6774,0.6739,-0.37%
8/13/1999,0.6766,0.6764,0.6774,0.6729,0.48%
8/12/1999,0.6734,0.6733,0.6746,0.6719,0.06%
8/11/1999,0.673,0.6728,0.673,0.6678,0.78%
8/10/1999,0.6678,0.6676,0.668,0.6656,0.30%
8/9/1999,0.6658,0.6656,0.6679,0.6646,0.12%
8/6/1999,0.665,0.6648,0.6686,0.6645,-0.37%
8/5/1999,0.6675,0.6674,0.6714,0.6674,-0.49%
8/4/1999,0.6708,0.6707,0.6717,0.6677,0.15%
8/3/1999,0.6698,0.6697,0.67,0.6639,0.77%
8/2/1999,0.6647,0.6646,0.6652,0.6611,0.18%
7/30/1999,0.6635,0.6633,0.6673,0.6633,-0.08%
7/29/1999,0.664,0.6638,0.6646,0.6609,0.12%
7/28/1999,0.6632,0.6631,0.6643,0.6601,0.36%
7/27/1999,0.6608,0.6607,0.6634,0.66,-0.17%
7/26/1999,0.6619,0.6617,0.6655,0.6591,-0.27%
7/23/1999,0.6637,0.6634,0.665,0.6629,0.03%
7/22/1999,0.6635,0.6633,0.6675,0.6615,-0.52%
7/21/1999,0.667,0.6668,0.6708,0.6652,-0.51%
7/20/1999,0.6704,0.6702,0.6714,0.6689,-0.06%
7/19/1999,0.6708,0.6706,0.6747,0.6689,-0.49%
7/16/1999,0.6741,0.6739,0.6752,0.6738,-0.09%
7/15/1999,0.6747,0.6745,0.6761,0.6743,-0.07%
7/14/1999,0.6752,0.6749,0.6761,0.6734,-0.04%
7/13/1999,0.6755,0.6753,0.6765,0.6739,-0.10%
7/12/1999,0.6762,0.6759,0.6799,0.6749,-0.49%
7/9/1999,0.6795,0.6793,0.6811,0.6788,-0.03%
7/8/1999,0.6797,0.6796,0.6816,0.6786,-0.13%
7/7/1999,0.6806,0.6805,0.6809,0.6794,0.13%
7/6/1999,0.6797,0.6796,0.6835,0.6795,-0.18%
7/5/1999,0.6809,0.6807,0.6836,0.6807,-0.31%
7/2/1999,0.683,0.6828,0.6839,0.6782,0.69%
7/1/1999,0.6783,0.6781,0.6843,0.6781,-0.80%
6/30/1999,0.6838,0.6837,0.6838,0.6747,1.00%
6/29/1999,0.677,0.6769,0.6808,0.6764,-0.50%
6/28/1999,0.6804,0.6803,0.6834,0.6803,-0.21%
6/25/1999,0.6818,0.6817,0.6836,0.679,0.41%
6/24/1999,0.679,0.6789,0.6809,0.6789,0.03%
6/23/1999,0.6788,0.6787,0.6815,0.6779,-0.22%
6/22/1999,0.6803,0.68,0.6809,0.6787,0.10%
6/21/1999,0.6796,0.6794,0.6841,0.6789,-0.50%
6/18/1999,0.683,0.6828,0.684,0.6818,-0.10%
6/17/1999,0.6837,0.6835,0.6877,0.6825,-0.23%
6/16/1999,0.6853,0.6851,0.6859,0.6825,0.37%
6/15/1999,0.6828,0.6827,0.6854,0.6823,-0.25%
6/14/1999,0.6845,0.6844,0.6856,0.6832,0.07%
6/11/1999,0.684,0.6837,0.6863,0.6835,0.10%
6/10/1999,0.6833,0.6831,0.685,0.679,0.62%
6/9/1999,0.6791,0.679,0.6798,0.6777,0.22%
6/8/1999,0.6776,0.6775,0.6817,0.6772,-0.54%
6/7/1999,0.6813,0.6811,0.682,0.6788,0.16%
6/4/1999,0.6802,0.6799,0.6807,0.6771,0.40%
6/3/1999,0.6775,0.6774,0.6778,0.6752,0.19%
6/2/1999,0.6762,0.676,0.6765,0.673,0.34%
6/1/1999,0.6739,0.6738,0.6783,0.6729,-0.66%
5/31/1999,0.6784,0.6783,0.6794,0.6768,-0.16%
5/28/1999,0.6795,0.6794,0.6797,0.6764,0.31%
5/27/1999,0.6774,0.6771,0.6825,0.6769,-0.40%
5/26/1999,0.6801,0.6799,0.6831,0.6781,-0.21%
5/25/1999,0.6815,0.6813,0.688,0.6813,-0.74%
5/24/1999,0.6866,0.6865,0.6879,0.6838,0.31%
5/21/1999,0.6845,0.6843,0.6858,0.6816,0.35%
5/20/1999,0.6821,0.6818,0.6828,0.6807,0.21%
5/19/1999,0.6807,0.6805,0.6865,0.6799,-0.10%
5/18/1999,0.6814,0.6811,0.6866,0.6811,-0.48%
5/17/1999,0.6847,0.6845,0.6859,0.6812,0.28%
5/14/1999,0.6828,0.6826,0.6888,0.682,-0.47%
5/13/1999,0.686,0.6858,0.6866,0.6853,0.13%
5/12/1999,0.6851,0.6849,0.6899,0.6842,-0.49%
5/11/1999,0.6885,0.6884,0.689,0.6843,0.60%
5/10/1999,0.6844,0.6841,0.6864,0.6841,-0.23%
5/7/1999,0.686,0.6858,0.6885,0.6841,-0.22%
5/6/1999,0.6875,0.6873,0.6919,0.6868,-0.29%
5/5/1999,0.6895,0.6892,0.6904,0.6862,0.15%
5/4/1999,0.6885,0.6883,0.6909,0.6873,-0.35%
5/3/1999,0.6909,0.6907,0.6916,0.6858,0.64%
4/30/1999,0.6865,0.6863,0.6877,0.6822,0.45%
4/29/1999,0.6834,0.6832,0.6834,0.6787,0.69%
4/28/1999,0.6787,0.6785,0.6787,0.6754,0.47%
4/27/1999,0.6755,0.6753,0.6773,0.6743,-0.27%
4/26/1999,0.6773,0.677,0.6779,0.6749,-0.06%
4/23/1999,0.6777,0.6775,0.6782,0.6752,0.33%
4/22/1999,0.6755,0.6753,0.676,0.6721,0.43%
4/21/1999,0.6726,0.6724,0.6729,0.6702,0.18%
4/20/1999,0.6714,0.6713,0.673,0.6706,-0.18%
4/19/1999,0.6726,0.6724,0.6767,0.6724,-0.56%
4/16/1999,0.6764,0.6762,0.6766,0.6712,0.70%
4/15/1999,0.6717,0.6714,0.6724,0.6681,0.36%
4/14/1999,0.6693,0.669,0.6713,0.669,-0.19%
4/13/1999,0.6706,0.6704,0.6724,0.6699,0.04%
4/12/1999,0.6703,0.6701,0.6704,0.6666,0.57%
4/9/1999,0.6665,0.6663,0.6679,0.6649,-0.04%
4/8/1999,0.6668,0.6666,0.668,0.6666,-0.09%
4/7/1999,0.6674,0.6672,0.6677,0.6647,0.27%
4/6/1999,0.6656,0.6655,0.6667,0.6646,-0.06%
4/5/1999,0.666,0.6657,0.669,0.6651,-0.42%
4/2/1999,0.6688,0.6686,0.6688,0.6665,0.24%
4/1/1999,0.6672,0.667,0.6678,0.6633,0.62%
3/31/1999,0.6631,0.6629,0.6635,0.6605,0.18%
3/30/1999,0.6619,0.6617,0.662,0.6599,0.24%
3/29/1999,0.6603,0.6601,0.6618,0.6598,-0.03%
3/26/1999,0.6605,0.6603,0.6644,0.66,-0.42%
3/25/1999,0.6633,0.6631,0.6637,0.6612,0.08%
3/24/1999,0.6628,0.6627,0.6655,0.6626,-0.06%
3/23/1999,0.6632,0.663,0.6655,0.6628,-0.36%
3/22/1999,0.6656,0.6654,0.6656,0.6598,0.86%
3/19/1999,0.6599,0.6597,0.6602,0.6582,0.24%
3/18/1999,0.6583,0.6581,0.6595,0.6574,0.15%
3/17/1999,0.6573,0.6571,0.6581,0.6545,0.49%
3/16/1999,0.6541,0.654,0.6555,0.6535,-0.17%
3/15/1999,0.6552,0.655,0.6565,0.654,-0.12%
