Date,Price,Open,High,Low,Change %
10/26/1989,0.8509,0.8507,0.8509,0.8507,-0.05%
10/17/1989,0.8509,0.8507,0.8509,0.8507,0.09%
10/27/1989,0.8513,0.8511,0.8513,0.8511,0.05%
10/25/1989,0.8513,0.8509,0.8513,0.8509,-0.25%
11/1/1989,0.8518,0.8516,0.8518,0.8516,-0.05%
10/30/1989,0.8519,0.8517,0.8519,0.8517,0.07%
10/20/1989,0.8519,0.8517,0.8519,0.8517,0.00%
10/19/1989,0.8519,0.8517,0.8519,0.8517,-0.05%
10/31/1989,0.8522,0.852,0.8522,0.852,0.04%
10/18/1989,0.8523,0.8521,0.8523,0.8521,0.16%
11/2/1989,0.8524,0.8522,0.8524,0.8522,0.07%
11/3/1989,0.8531,0.853,0.8531,0.853,0.08%
11/6/1989,0.8534,0.8532,0.8534,0.8532,0.04%
10/24/1989,0.8534,0.8531,0.8534,0.8531,-0.14%
11/7/1989,0.854,0.8538,0.854,0.8538,0.07%
11/20/1989,0.8541,0.854,0.8541,0.854,-0.09%
11/15/1989,0.8541,0.8539,0.8541,0.8539,-0.09%
10/23/1989,0.8546,0.8543,0.8546,0.8543,0.32%
11/21/1989,0.8547,0.8545,0.8547,0.8545,0.07%
11/17/1989,0.8549,0.8548,0.8549,0.8548,-0.08%
11/14/1989,0.8549,0.8547,0.8549,0.8547,-0.11%
11/8/1989,0.8549,0.8548,0.8549,0.8548,0.11%
11/10/1989,0.8552,0.855,0.8552,0.855,-0.26%
11/22/1989,0.8556,0.8554,0.8556,0.8554,0.11%
11/16/1989,0.8556,0.8554,0.8556,0.8554,0.18%
11/23/1989,0.8557,0.8555,0.8557,0.8555,0.01%
11/13/1989,0.8558,0.8557,0.8558,0.8557,0.07%
11/24/1989,0.8569,0.8567,0.8569,0.8567,0.14%
11/27/1989,0.8571,0.8569,0.8571,0.8569,0.02%
11/28/1989,0.8572,0.857,0.8572,0.857,0.01%
11/9/1989,0.8574,0.8572,0.8574,0.8572,0.29%
11/29/1989,0.8579,0.8578,0.8579,0.8578,0.08%
12/1/1989,0.8585,0.8583,0.8585,0.8583,-0.06%
11/30/1989,0.859,0.8588,0.859,0.8588,0.13%
12/4/1989,0.8592,0.859,0.8592,0.859,0.08%
12/11/1989,0.8597,0.8595,0.8597,0.8595,-0.10%
12/5/1989,0.8597,0.8595,0.8597,0.8595,0.06%
12/12/1989,0.8602,0.86,0.8602,0.86,0.06%
12/8/1989,0.8606,0.8604,0.8606,0.8604,-0.02%
12/7/1989,0.8608,0.8606,0.8608,0.8606,-0.07%
12/6/1989,0.8614,0.8612,0.8614,0.8612,0.20%
12/20/1989,0.8615,0.8613,0.8615,0.8613,0.00%
12/19/1989,0.8615,0.8613,0.8615,0.8613,-0.01%
12/15/1989,0.8615,0.8613,0.8615,0.8613,-0.10%
12/18/1989,0.8616,0.8615,0.8616,0.8615,0.01%
12/26/1989,0.862,0.8618,0.862,0.8618,-0.10%
12/21/1989,0.8623,0.8621,0.8623,0.8621,0.09%
12/22/1989,0.8624,0.8622,0.8624,0.8622,0.01%
12/14/1989,0.8624,0.8622,0.8624,0.8622,0.00%
12/13/1989,0.8624,0.8622,0.8624,0.8622,0.26%
12/25/1989,0.8629,0.8621,0.8629,0.8621,0.06%
12/29/1989,0.8634,0.8632,0.8634,0.8632,-0.15%
12/27/1989,0.8641,0.8639,0.8641,0.8639,0.24%
12/28/1989,0.8647,0.8645,0.8647,0.8645,0.07%
12/31/1999,0.6915,0.6913,0.6932,0.6871,0.51%
12/30/1999,0.688,0.6877,0.6899,0.6875,-0.01%
12/29/1999,0.6881,0.6878,0.6908,0.6878,-0.19%
12/28/1999,0.6894,0.6891,0.6906,0.684,0.57%
12/27/1999,0.6855,0.6853,0.6856,0.6808,0.59%
12/24/1999,0.6815,0.6812,0.6815,0.6795,0.16%
12/23/1999,0.6804,0.6802,0.6809,0.6768,0.44%
12/22/1999,0.6774,0.6771,0.6784,0.6767,0.06%
12/21/1999,0.677,0.6768,0.6777,0.6754,0.24%
12/20/1999,0.6754,0.6752,0.677,0.6745,-0.16%
12/17/1999,0.6765,0.6763,0.6784,0.6763,-0.15%
12/16/1999,0.6775,0.6773,0.6777,0.6737,0.49%
12/15/1999,0.6742,0.6739,0.6754,0.6734,-0.10%
12/14/1999,0.6749,0.6747,0.6768,0.6747,-0.18%
12/13/1999,0.6761,0.6759,0.6773,0.6751,-0.18%
