Year,Quarter,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Platinum Supply,Platinum Gross Demand
1975,NA,1,1,12,31,1/1/1975,12/31/1975,1975-01-01,1975-12-31,2530,2600
1976,NA,1,1,12,31,1/1/1976,12/31/1976,1976-01-01,1976-12-31,2600,2430
1977,NA,1,1,12,31,1/1/1977,12/31/1977,1977-01-03,1977-12-30,2610,2700
1978,NA,1,1,12,31,1/1/1978,12/31/1978,1978-01-02,1978-12-29,2650,2820
1979,NA,1,1,12,31,1/1/1979,12/31/1979,1979-01-01,1979-12-31,2800,2880
1980,NA,1,1,12,31,1/1/1980,12/31/1980,1980-01-01,1980-12-31,2820,2360
1981,NA,1,1,12,31,1/1/1981,12/31/1981,1981-01-01,1981-12-31,2330,2460
1982,NA,1,1,12,31,1/1/1982,12/31/1982,1982-01-01,1982-12-31,2490,2350
1983,NA,1,1,12,31,1/1/1983,12/31/1983,1983-01-03,1983-12-30,2480,2200
1984,NA,1,1,12,31,1/1/1984,12/31/1984,1984-01-02,1984-12-31,2720,2660
1985,NA,1,1,12,31,1/1/1985,12/31/1985,1985-01-01,1985-12-31,2760,2860
1986,NA,1,1,12,31,1/1/1986,12/31/1986,1986-01-01,1986-12-31,2830,2880
1987,NA,1,1,12,31,1/1/1987,12/31/1987,1987-01-01,1987-12-31,3100,3320
1988,NA,1,1,12,31,1/1/1988,12/31/1988,1988-01-01,1988-12-30,3280,3650
1989,NA,1,1,12,31,1/1/1989,12/31/1989,1989-01-02,1989-12-29,3425,3470
1990,NA,1,1,12,31,1/1/1990,12/31/1990,1990-01-01,1990-12-31,3730,3705
1991,NA,1,1,12,31,1/1/1991,12/31/1991,1991-01-01,1991-12-31,4160,4050
1992,NA,1,1,12,31,1/1/1992,12/31/1992,1992-01-01,1992-12-31,3820,3815
1993,NA,1,1,12,31,1/1/1993,12/31/1993,1993-01-01,1993-12-31,4390,4065
1994,NA,1,1,12,31,1/1/1994,12/31/1994,1994-01-03,1994-12-30,4530,4580
1995,NA,1,1,12,31,1/1/1995,12/31/1995,1995-01-02,1995-12-29,4990,4840
1996,NA,1,1,12,31,1/1/1996,12/31/1996,1996-01-01,1996-12-31,4980,4960
1997,NA,1,1,12,31,1/1/1997,12/31/1997,1997-01-01,1997-12-31,4960,5130
1998,NA,1,1,12,31,1/1/1998,12/31/1998,1998-01-01,1998-12-31,5400,5370
1999,NA,1,1,12,31,1/1/1999,12/31/1999,1999-01-01,1999-12-31,4870,5590
2000,NA,1,1,12,31,1/1/2000,12/31/2000,2000-01-03,2000-12-29,5290,6150
2001,NA,1,1,12,31,1/1/2001,12/31/2001,2001-01-01,2001-12-31,5860,6760
2002,NA,1,1,12,31,1/1/2002,12/31/2002,2002-01-01,2002-12-31,5970,7035
2003,NA,1,1,12,31,1/1/2003,12/31/2003,2003-01-01,2003-12-31,6200,7175
2004,NA,1,1,12,31,1/1/2004,12/31/2004,2004-01-01,2004-12-31,6490,7230
2005,NA,1,1,12,31,1/1/2005,12/31/2005,2005-01-03,2005-12-30,6640,7965
2006,NA,1,1,12,31,1/1/2006,12/31/2006,2006-01-02,2006-12-29,6830,7890
2007,NA,1,1,12,31,1/1/2007,12/31/2007,2007-01-01,2007-12-31,6600,8270
2008,NA,1,1,12,31,1/1/2008,12/31/2008,2008-01-01,2008-12-31,5940,7990
2009,NA,1,1,12,31,1/1/2009,12/31/2009,2009-01-01,2009-12-31,6025,6795
2010,NA,1,1,12,31,1/1/2010,12/31/2010,2010-01-01,2010-12-31,6050,7905
2011,NA,1,1,12,31,1/1/2011,12/31/2011,2011-01-03,2011-12-30,6485,8095
2012,NA,1,1,12,31,1/1/2012,12/31/2012,2012-01-02,2012-12-31,5650,8030
2013,NA,1,1,12,31,1/1/2013,12/31/2013,2013-01-01,2013-12-31,5845,8490
2014,H1,1,1,6,30,1/1/2014,6/30/2014,2014-01-01,2014-06-30,3455,4335
2014,Q3,7,1,9,30,7/1/2014,9/30/2014,2014-07-01,2014-09-30,1945,1710
2014,Q4,10,1,12,31,10/1/2014,12/31/2014,2014-10-01,2014-12-31,1850,1915
2015,Q1,1,1,3,31,1/1/2015,3/31/2015,2015-01-01,2015-03-31,1855,1990
2015,Q2,4,1,6,30,4/1/2015,6/30/2015,2015-04-01,2015-06-30,2015,2060
